,Valor medio de NDVI,Imagem Clipada
60,0.061785597943715964,20180312_142853_0f44__CLIPPED_ndvi.tif
61,0.08695992650252492,20171012_125902_1013__CLIPPED_ndvi.tif
62,0.053503828770457326,20180301_130552_1011__CLIPPED_ndvi.tif
63,0.314211977310158,20180117_130455_1004__CLIPPED_ndvi.tif
64,0.14073273942281894,20180212_130503_102e__CLIPPED_ndvi.tif
65,0.11997295416964697,20171130_130229_0f34__CLIPPED_ndvi.tif
66,0.1154740571926517,20171115_125938_1007__CLIPPED_ndvi.tif
67,0.08181379246876203,20170920_125937_0f43__CLIPPED_ndvi.tif
68,0.10297840635056993,20180301_143031_0f46__CLIPPED_ndvi.tif
69,0.07067447318898634,20180202_130419_1025__CLIPPED_ndvi.tif
70,0.07352498069495983,20171005_145315_1051__CLIPPED_ndvi.tif
71,0.2568388968272807,20171229_130253_1025__CLIPPED_ndvi.tif
72,0.21035655072535056,20180325_130659_0f3f__CLIPPED_ndvi.tif
73,0.06147388093479614,20171020_125950_1030__CLIPPED_ndvi.tif
74,0.10048476639243245,20171205_130203_103d__CLIPPED_ndvi.tif
75,0.30525633612772995,20171224_130254_0f35__CLIPPED_ndvi.tif
76,0.21445745886288423,20180324_142727_0f46__CLIPPED_ndvi.tif
77,0.09312664675224791,20171115_144509_0f33__CLIPPED_ndvi.tif
78,0.08641052842611721,20171017_125934_0f43__CLIPPED_ndvi.tif
79,0.07513819807338734,20171225_130351_1036__CLIPPED_ndvi.tif
80,0.09344755629532563,20180303_130711_1014__CLIPPED_ndvi.tif
81,0.13124930526709994,20180127_130436_0f42__CLIPPED_ndvi.tif
82,0.041286967200090854,20180404_130700_1039__CLIPPED_ndvi.tif
83,0.03752251959032422,20171103_130123_102e__CLIPPED_ndvi.tif
84,0.01500398696268834,20180221_130556_0f52__CLIPPED_ndvi.tif
85,0.002188538572036769,20171127_130236_1032__CLIPPED_ndvi.tif
86,0.000282450427946948,20171224_130255_0f35__CLIPPED_ndvi.tif
87,0.10680436517149852,20180322_130633_103e__CLIPPED_ndvi.tif
88,0.18028885006825368,20171129_130149_1012__CLIPPED_ndvi.tif
89,0.07021748713174701,20171027_144942_100d__CLIPPED_ndvi.tif
90,0.05264836904862959,20171109_144809_0f40__CLIPPED_ndvi.tif
91,0.103827830995145,20180209_143326_104e__CLIPPED_ndvi.tif
92,0.06724589823663327,20180222_143142_1043__CLIPPED_ndvi.tif
93,0.024822976007007565,20180215_130453_102f__CLIPPED_ndvi.tif
94,0.11729865790206143,20180107_143839_0f3c__CLIPPED_ndvi.tif
95,0.06350705514802689,20171102_130040_1036__CLIPPED_ndvi.tif
96,0.20992503660496603,20171231_130351_101b__CLIPPED_ndvi.tif
97,0.09687220914665677,20180328_130628_103c__CLIPPED_ndvi.tif
98,0.10877604619769203,20180321_130554_0f18__CLIPPED_ndvi.tif
99,0.11797874079228661,20180405_130742_1040__CLIPPED_ndvi.tif
100,0.07276165868518007,20180225_143025_0f21__CLIPPED_ndvi.tif
101,0.03524120494000347,20171006_125946_1024__CLIPPED_ndvi.tif
102,0.10659932367675369,20180202_130418_1025__CLIPPED_ndvi.tif
103,0.10495347635513766,20171225_130352_1036__CLIPPED_ndvi.tif
104,0.22379119563711702,20180401_130729_0f52__CLIPPED_ndvi.tif
105,0.11501949707128409,20180206_130431_100e__CLIPPED_ndvi.tif
106,0.0068121223566635645,20180302_130556_103c__CLIPPED_ndvi.tif
107,0.18643114192208488,20180329_130706_1014__CLIPPED_ndvi.tif
108,0.08783429884284796,20170921_130020_1008__CLIPPED_ndvi.tif
109,0.17811702529950832,20171127_130234_1032__CLIPPED_ndvi.tif
110,0.08008041805119764,20171014_130035_0f35__CLIPPED_ndvi.tif
111,0.12492513180493678,20180314_130623_1011__CLIPPED_ndvi.tif
112,0.10200287109489023,20171109_130154_1014__CLIPPED_ndvi.tif
113,0.06954256190682444,20180221_143130_104a__CLIPPED_ndvi.tif
114,0.08360142861418794,20171008_130016_0f43__CLIPPED_ndvi.tif
115,3.947106848275892e-05,20171129_130148_1012__CLIPPED_ndvi.tif
116,0.110732211161202,20180215_130454_102f__CLIPPED_ndvi.tif
117,0.25625248448981514,20171212_144302_0f53__CLIPPED_ndvi.tif
118,0.12910533826834786,20180404_130659_1039__CLIPPED_ndvi.tif
119,0.07159967832844501,20171104_130118_103d__CLIPPED_ndvi.tif
120,0.03525438738548686,20180209_130528_0e26__CLIPPED_ndvi.tif
121,0.027449466528129542,20171130_130231_0f34__CLIPPED_ndvi.tif
122,0.04870969389685977,20180221_130557_0f52__CLIPPED_ndvi.tif
123,0.11019126275710422,20171120_144607_100d__CLIPPED_ndvi.tif
124,0.08176945887919962,20170925_125806_0f31__CLIPPED_ndvi.tif
125,0.0423027881733024,20170928_125754_1042__CLIPPED_ndvi.tif
126,0.16851475665443308,20171219_130230_1008__CLIPPED_ndvi.tif
127,0.040981842062401616,20171019_130128_1018__CLIPPED_ndvi.tif
128,0.09749027945219836,20180305_130554_101d__CLIPPED_ndvi.tif
129,0.10549592277354071,20171120_130127_100a__CLIPPED_ndvi.tif
130,0.0008978114768190543,20171125_130217_1034__CLIPPED_ndvi.tif
131,0.04308223534657177,20180322_142719_1050__CLIPPED_ndvi.tif
132,0.23925599854121476,20180328_130629_103c__CLIPPED_ndvi.tif
133,0.14870677195044293,20171123_130106_100c__CLIPPED_ndvi.tif
134,0.2175125304098722,20171229_130254_1025__CLIPPED_ndvi.tif
135,0.11216741453617432,20180214_130512_0f3f__CLIPPED_ndvi.tif
136,0.09217910377750545,20170928_145427_0f46__CLIPPED_ndvi.tif
137,0.08436268896056096,20171013_130009_1033__CLIPPED_ndvi.tif
138,0.04213517518281059,20180209_143325_104e__CLIPPED_ndvi.tif
139,0.10136166273265272,20171124_130222_103e__CLIPPED_ndvi.tif
140,0.1689329890853396,20171125_130216_1034__CLIPPED_ndvi.tif
141,0.288410844144626,20180114_130400_1022__CLIPPED_ndvi.tif
142,0.30717442405326517,20171226_130305_1040__CLIPPED_ndvi.tif
143,0.30896516610064734,20180115_130317_101f__CLIPPED_ndvi.tif
144,0.2815024717022625,20180101_130521_0e2f__CLIPPED_ndvi.tif
145,0.17099083317869568,20180126_143528_0f2a__CLIPPED_ndvi.tif
146,0.059718167412448925,20171005_125938_1021__CLIPPED_ndvi.tif
147,0.08178285965483946,20171006_125947_1024__CLIPPED_ndvi.tif
148,0.05593734291049664,20180308_130547_0f18__CLIPPED_ndvi.tif
149,0.1876693914014546,20180318_142833_0f40__CLIPPED_ndvi.tif
150,0.08014283041722127,20180209_130529_0e26__CLIPPED_ndvi.tif
151,0.004101858348876453,20180207_130511_100a__CLIPPED_ndvi.tif
152,0.2554708712403679,20171221_130225_1030__CLIPPED_ndvi.tif
